"BP","BP_within","BP_within_standard","BP_between","ERD1_alpha","ERD1_alpha_within","ERD1_alpha_within_standard","ERD1_alpha_between","ERD1_beta","ERD1_beta_within","ERD1_beta_within_standard","ERD1_beta_between","ERD2_alpha","ERD2_alpha_within","ERD2_alpha_within_standard","ERD2_alpha_between","ERD2_beta","ERD2_beta_within","ERD2_beta_within_standard","ERD2_beta_between","subject","musicality","trial","session","deviation"
-7.572033134176425,-3.171594266381984,-1.5325434345932356,-4.400438867794441,3.9089376483769196,1.0838156824981424,0.7787858101334103,2.825121965878777,4.288350854121993,0.05547750260203799,0.07511255809778611,4.232873351519955,3.8989933363035387,1.1328400518415402,0.7038680051002735,2.7661532844619985,4.055686117797315,0.3448241084524608,0.3863416037319275,3.710862009344854,1,0.24326327531919587,2,0,0.07900226757369622
-1.4059580299632455,2.994480837831196,1.4469606017003485,-4.400438867794441,5.716380759360671,2.891258793481894,2.077540820037915,2.825121965878777,5.31175768641063,1.0788843348906747,1.4607319811524857,4.232873351519955,5.437322289856633,2.6711690053946344,1.6596786069281697,2.7661532844619985,2.5679722389637645,-1.1428897703810894,-1.280495928081891,3.710862009344854,1,0.24326327531919587,7,0,0.15727891156462148
-3.388471787988612,1.011967079805829,0.48899177319742476,-4.400438867794441,4.063987315448606,1.2388653495698287,0.8901981863623784,2.825121965878777,4.529068686167838,0.2961953346478827,0.40102723155412917,4.232873351519955,4.508474469865218,1.74232118540322,1.0825571845029098,2.7661532844619985,3.4920701744413756,-0.2187918349034783,-0.24513479860621298,3.710862009344854,1,0.24326327531919587,8,0,0.026167800453511192
-5.601415330029678,-1.2009764622352366,-0.5803228400962018,-4.400438867794441,3.092338559539008,0.26721659366023065,0.1920109615826026,2.825121965878777,4.458565130766482,0.22569177924652717,0.3055704760622145,4.232873351519955,3.254462214487399,0.48830893002540066,0.3034012011588947,2.7661532844619985,3.2968204141666853,-0.41404159517816863,-0.4638930108766228,3.710862009344854,1,0.24326327531919587,10,0,0.07414965986396693
-6.801980816547006,-2.4015419487525653,-1.1604470929566615,-4.400438867794441,4.278179680126177,1.4530577142474002,1.0441080964545855,2.825121965878777,5.074684077619743,0.841810726099788,1.1397513245159496,4.232873351519955,3.199746351603348,0.4335930671413495,0.2694045701314773,2.7661532844619985,4.2909977145763865,0.5801357052315326,0.6499851757673807,3.710862009344854,1,0.24326327531919587,13,0,0.09809523809523013
-2.2258199476703577,2.1746189201240833,1.050795804527731,-4.400438867794441,1.2974520002868886,-1.5276699655918886,-1.0977214216237337,2.825121965878777,3.603183280976532,-0.6296900705434232,-0.8525551762229905,4.232873351519955,0.44951802584031275,-2.3166352586216856,-1.4393959989146714,2.7661532844619985,2.5114966163808914,-1.1993653929639625,-1.3437713257863828,3.710862009344854,1,0.24326327531919587,15,0,0.06290249433104533
-3.800656050369563,0.5997828174248778,0.28982055768277865,-4.400438867794441,3.0502574641385745,0.22513549825979728,0.16177320021603003,2.825121965878777,5.063164585426763,0.8302912339068076,1.1241547585924783,4.232873351519955,3.84610994424412,1.0799566597821215,0.6710099439721475,2.7661532844619985,4.098319945747017,0.38745793640216286,0.4341086277292933,3.710862009344854,1,0.24326327531919587,18,0,0.09764172335602395
-2.2667241525691018,2.1337147152253393,1.0310305176090049,-4.400438867794441,1.5632792068970514,-1.2618427589817258,-0.9067088169913479,2.825121965878777,3.7434436993571656,-0.48942965216278944,-0.6626526332046225,4.232873351519955,1.3458871308017342,-1.4202661536602643,-0.8824545907105007,2.7661532844619985,3.282485087739614,-0.42837692160523977,-0.47995433856832886,3.710862009344854,1,0.24326327531919587,20,0,0.05492063492065269
0.23944973687092447,4.639888604665366,2.2420367238321437,-4.400438867794441,0.5178456279570456,-2.3072763379217314,-1.6579148106514905,2.825121965878777,4.096415986051085,-0.13645736546887033,-0.1847534822390298,4.232873351519955,1.3693278686461638,-1.3968254158158346,-0.8678901468088076,2.7661532844619985,2.582903721326033,-1.1279582880188208,-1.2637666661175144,3.710862009344854,1,0.24326327531919587,22,0,0.10104308390024086
-3.7795294837880284,0.6209093840064126,0.3000291083959702,-4.400438867794441,1.3734007047702235,-1.4517212611085537,-1.0431477756571943,2.825121965878777,3.6075901834633566,-0.6252831680565984,-0.8465885464442964,4.232873351519955,-0.3697955204182397,-3.135948804880238,-1.9484604431132813,2.7661532844619985,3.1714004900875525,-0.5394615192573013,-0.6044137384618548,3.710862009344854,1,0.24326327531919587,24,1,0.0591383219954521
